suburb,trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,stop_name,stop_lat,stop_lon
Seville East,72,72,72,72,72,0,72,72,72,72,72,72
Sherbrooke,101,101,101,101,101,0,101,101,101,101,101,101
Shoreham,20,20,20,20,20,0,20,20,20,20,20,20
Silvan,500,500,500,500,500,0,500,500,500,500,500,500
Skye,72,72,72,72,72,0,72,72,72,72,72,72
Somers,274,274,274,274,274,0,274,274,274,274,274,274
Somerton,615,615,615,615,615,0,615,615,615,615,615,615
Somerville,448,448,448,448,448,0,448,448,448,448,448,448
Sorrento,1230,1230,1230,1230,1230,0,1230,1230,1230,1230,1230,1230
South Kingsville,615,615,615,615,615,0,615,615,615,615,615,615
South Melbourne,7138,7138,7138,7138,7138,0,7138,7138,7001,7138,7138,7138
South Morang,6181,6181,6181,6181,6181,0,6181,6181,6181,6181,6181,6181
South Yarra,7410,7410,7410,7410,7410,0,7410,7410,7410,7410,7410,7410
Southbank,7029,7029,7029,7029,7029,0,7029,7029,6955,7029,7029,7029
Spotswood,895,895,895,895,895,0,895,895,895,895,895,895
Springvale,4566,4566,4566,4566,4566,0,4566,4566,4566,4566,4566,4566
Springvale South,1727,1727,1727,1727,1727,0,1727,1727,1727,1727,1727,1727
St Albans,5276,5276,5276,5276,5276,0,5276,5276,5276,5276,5276,5276
St Andrews Beach,48,48,48,48,48,0,48,48,48,48,48,48
St Kilda,11235,11235,11235,11235,11235,0,11235,11235,11235,11235,11235,11235
St Kilda East,3017,3017,3017,3017,3017,0,3017,3017,3017,3017,3017,3017
St Kilda West,658,658,658,658,658,0,658,658,658,658,658,658
Strathmore,1856,1856,1856,1856,1856,0,1856,1856,1856,1856,1856,1856
Strathmore Heights,272,272,272,272,272,0,272,272,272,272,272,272
Strathtulloh,24,24,24,24,24,0,24,24,24,24,24,24
Sunbury,6418,6418,6418,6418,6418,0,6418,6418,6418,6418,6418,6418
