,Area Name,Lat,Lon,place_id,addr_1,addr-2,Confidence,Municipality,Suburb_geoapify,bbox_lat1,bbox_lat2,bbox_lon1,bbox_lon2
205,Tooradin,-38.2138303,145.3816827,515e3ea3be362c6240596ab290ca5e1b43c0f00101f9018b3b250000000000c00208,Melbourne,Melbourne,1.0,City of Casey,,,,,
206,Plenty,-37.6674499,145.1123773,51028a47989823624059f71b92ff6ed542c0f00101f901976b240000000000c00205,Plenty,Plenty,1.0,Shire of Nillumbik,Plenty,-37.682921,-37.647969,145.083415,145.138315
207,Yarrambat,-37.6375473,145.1349293,51b65840575124624059999361269bd142c0f00101f901e786240000000000c00205,Yarrambat,Yarrambat,1.0,Shire of Nillumbik,Yarrambat,-37.658385,-37.617464,145.101553,145.170548
208,Point Cook,-37.9064862,144.7533059,51488cf9141b186240593ea363bd07f442c0f00101f9010302250000000000c00205,Point Cook,Point Cook,1.0,City of Wyndham,Point Cook,-37.941393,-37.869457,144.70431,144.804121
209,Point Nepean,-35.7442168,137.759257,514a0856d54b386140591f91007f42df41c0f00102f901ad0e780100000000c00204920313506f696e74204d6f727269736f6e20526f6164,Point Morrison Road,Point Morrison Road,0.7290000000000001,,,,,,
210,Port Melbourne,-37.8333613,144.9219203,519840005f801d62405943a04495abea42c0f00101f901ab9d240000000000c00205,Port Melbourne,Port Melbourne,1.0,City of Port Phillip,Port Melbourne,-37.849482,-37.818967,144.896981,144.9497184
211,Prahran,-37.8519135,145.0005993,51d1bcd2e80420624059adc266800bed42c0f00101f901768e240000000000c00205,Prahran,Prahran,1.0,City of Stonnington,Prahran,-37.860173,-37.845688,144.984201,145.012314
212,Preston,-37.7418658,145.0078205,51a1f7c6104020624059ac826275f5de42c0f00101f9016f60240000000000c00205,Preston,Preston,1.0,City of Darebin,Preston,-37.755732,-37.727557,144.979763,145.0384
213,Research,-37.7066557,145.189067,5117b83cd60c266240591884a8b173da42c0f00101f901e186240000000000c00205,Research,Research,1.0,Shire of Nillumbik,Research,-37.72545,-37.686077,145.164085,145.212387
214,North Warrandyte,-37.7236286,145.2087814,516ba05456ae26624059a2b9a9dc9fdc42c0f00101f901a88e240000000000c00205,North Warrandyte,North Warrandyte,1.0,Shire of Nillumbik,North Warrandyte,-37.741794,-37.71074,145.188829,145.243207
215,Reservoir East,-37.720098300000004,145.02251427026897,51f4cfd86fb820624059de335c2e2cdc42c0f00102f901fe38b30100000000c0020192031d5265736572766f69722045617374205072696d617279205363686f6f6c,Reservoir East Primary School,Reservoir East Primary School,0.9,City of Darebin,Reservoir,-37.7209857,-37.7194348,145.0212244,145.0240682
216,Reservoir West,-37.7229788,144.99019125788044,5136ac93a5af1f624059c5d9be918adc42c0f00102f9013213b00100000000c0020192031d5265736572766f69722057657374205072696d617279205363686f6f6c,Reservoir West Primary School,Reservoir West Primary School,0.9,City of Darebin,Reservoir,-37.7236841,-37.7219063,144.9894003,144.9910434
217,Richmond,-37.8203955,145.0025153,51ab67f79a14206240598d2441b802e942c0f00101f9013262240000000000c00205,Richmond,Richmond,1.0,City of Yarra,Richmond,-37.834522,-37.8096258,144.9888299,145.016871
218,Riddells Creek,-37.4587733,144.6776503,51fd93ae4faf1562405995e35f15b9ba42c0f00103f901db13f91f00000000c0020792030e52696464656c6c7320437265656b,Riddells Creek,Riddells Creek,1.0,Shire of Macedon Ranges,,,,,
219,Ringwood,-37.8091884,145.2300999,51032a77fa5c27624059ba26497c93e742c0f00101f901159b240000000000c00205,Ringwood,Ringwood,1.0,City of Maroondah,Ringwood,-37.839486,-37.780494,145.213346,145.264391
220,Ringwood East,-37.8099075,145.2516141,51cd5603390d286240597fa4880cabe742c0f00101f90185a5240000000000c00205,Ringwood East,Ringwood East,1.0,City of Maroondah,Ringwood East,-37.828006,-37.796561,145.238159,145.266883
221,Ringwood North,-37.7941413,145.2360475,51af997cb38d2762405993f30f6ca6e542c0f00101f9019597240000000000c00205,Ringwood North,Ringwood North,1.0,City of Maroondah,Ringwood North,-37.810705,-37.773507,145.213818,145.249201
222,Rockbank,-37.7312767,144.6607316,51e1ad98b62415624059d56993799add42c0f00101f901a30f250000000000c00205,Rockbank,Rockbank,1.0,City of Melton,Rockbank,-37.745473,-37.71392,144.631851,144.671041
223,Romsey,-37.3518801,144.7374475,518be07f2b99176240597ece38680aad42c0f00101f9019932250000000000c00207,Romsey VIC 3434,Romsey VIC 3434,1.0,Shire of Macedon Ranges,,,,,
224,Rosebud,-38.3710325,144.9095115,51c07adcb71a1d62405966a032fe7d2f43c0f00101f9017e67250000000000c00205,Rosebud,Rosebud,1.0,Shire of Mornington Peninsula,Rosebud,-38.392773,-38.349437,144.874832,144.946148
225,Rowville,-37.9239267,145.2447672,5146e40522d5276240595b33e83a43f642c0f00101f90127b7240000000000c00205,Rowville,Rowville,1.0,City of Knox,Rowville,-37.952076,-37.899697,145.204823,145.281541
226,Roxburgh Park,-37.6258153,144.9255725,517632384a9e1d624059106b3bb71ad042c0f00101f90112a0240000000000c00205,Roxburgh Park,Roxburgh Park,1.0,City of Hume,Roxburgh Park,-37.641399,-37.610085,144.910389,144.940497
227,Sandhurst,-38.0819428,145.21039,51f92ccf83bb266240594312071a7d0a43c0f00101f9011603250000000000c00205,Sandhurst,Sandhurst,1.0,City of Frankston,Sandhurst,-38.090196,-38.073188,145.192563,145.22147
228,Sandringham,-37.9533347,145.0139308,51074d011f72206240592c5217df06fa42c0f00101f901eaac240000000000c00205,Sandringham,Sandringham,1.0,City of Bayside,Sandringham,-37.963186,-37.941799,144.992836,145.031786
229,Seabrook,-37.8806797,144.7578334,51219ad42b401862405924e0c61cbaf042c0f00101f9011501250000000000c00205,Seabrook,Seabrook,1.0,City of Hobsons Bay,Seabrook,-37.888649,-37.872967,144.751432,144.766673
230,Seaford,-38.1048309,145.1384475,51d19673296e246240591d8e53196b0d43c0f00101f9010b0a250000000000c00205,Seaford,Seaford,1.0,City of Frankston,Seaford,-38.130777,-38.081703,145.122211,145.162044
