,Area Name,Total 2016,Total 2021,Total 2026,Total 2031,Total 2036,GCCSA,Total Growth,Total Growth %
244,Coburg North,8112.0,9472.0,10680.0,11950.0,13337.0,2GMEL,5225.0,0.6441074950690335
245,Fawkner,14460.0,15544.0,16582.0,17596.0,18685.0,2GMEL,4225.0,0.2921853388658368
246,Pascoe Vale,24829.0,27611.0,29998.0,32327.0,34604.0,2GMEL,9775.0,0.3936928591566314
247,Glenroy,23153.0,25544.0,27739.0,29874.0,32250.0,2GMEL,9097.0,0.39290804647345917
248,Gowanbrae,3042.0,3278.0,3540.0,3831.0,4153.0,2GMEL,1111.0,0.36522024983563445
249,Hadfield,5911.0,6633.0,7206.0,7788.0,8407.0,2GMEL,2496.0,0.4222635763830147
250,Sunbury,13238.0,13911.0,15453.0,18283.0,22305.0,2GMEL,9067.0,0.6849221936848466
251,Sunbury - South,27686.0,32315.0,37447.0,42657.0,47871.0,2GMEL,20185.0,0.7290688434587879
252,Broadmeadows,13916.0,15280.0,16847.0,18714.0,21013.0,2GMEL,7097.0,0.5099885024432308
253,Campbellfield - Coolaroo,17122.0,17407.0,17822.0,18337.0,19138.0,2GMEL,2016.0,0.11774325429272281
254,Gladstone Park - Westmeadows,18353.0,18971.0,19551.0,20160.0,20916.0,2GMEL,2563.0,0.13965019342886723
255,Greenvale - Bulla,17123.0,21905.0,27114.0,31463.0,35127.0,2GMEL,18004.0,1.0514512643812417
256,Meadow Heights,15779.0,15870.0,16030.0,16261.0,16660.0,2GMEL,881.0,0.05583370302300526
257,Melbourne Airport,194.0,194.0,194.0,194.0,194.0,2GMEL,0.0,0.0
258,Roxburgh Park - Somerton,23041.0,26033.0,27356.0,27926.0,28527.0,2GMEL,5486.0,0.23809730480447897
259,Tullamarine,6698.0,7015.0,7332.0,7689.0,8118.0,2GMEL,1420.0,0.212003583159152
260,Craigieburn - Central,8749.0,8884.0,8933.0,9017.0,9155.0,2GMEL,406.0,0.046405303463252945
261,Craigieburn - North,12124.0,13605.0,13826.0,14048.0,14284.0,2GMEL,2160.0,0.17815902342461234
262,Craigieburn - South,16999.0,22470.0,25808.0,27646.0,28747.0,2GMEL,11748.0,0.6910994764397905
263,Craigieburn - West,14882.0,23027.0,27752.0,29688.0,31305.0,2GMEL,16423.0,1.10354791022712
264,Mickleham - Yuroke,3580.0,18538.0,33525.0,47112.0,58334.0,2GMEL,54754.0,15.29441340782123
265,Bayswater,12584.0,13501.0,14547.0,15712.0,16999.0,2GMEL,4415.0,0.35084233947870314
266,Knoxfield - Scoresby,15752.0,17527.0,19306.0,21157.0,23138.0,2GMEL,7386.0,0.46889283900457085
267,Lysterfield,6917.0,7082.0,7257.0,7468.0,7715.0,2GMEL,798.0,0.11536793407546624
268,Rowville - Central,15864.0,16045.0,16317.0,16687.0,17182.0,2GMEL,1318.0,0.08308119011598589
269,Rowville - North,8352.0,8421.0,8566.0,8800.0,9097.0,2GMEL,745.0,0.08920019157088123
270,Rowville - South,11000.0,10824.0,10880.0,11010.0,11258.0,2GMEL,258.0,0.023454545454545454
271,Wantirna,14425.0,14927.0,15621.0,16220.0,16808.0,2GMEL,2383.0,0.16519930675909877
272,Wantirna South,18580.0,19098.0,20423.0,21628.0,22618.0,2GMEL,4038.0,0.21733046286329386
273,Boronia,22918.0,24174.0,25580.0,27123.0,28906.0,2GMEL,5988.0,0.2612793437472729
274,Ferntree Gully (North),14337.0,15013.0,15607.0,16176.0,16794.0,2GMEL,2457.0,0.1713747645951036
275,Ferntree Gully (South) - Upper Ferntree Gully,15230.0,15379.0,15578.0,15850.0,16221.0,2GMEL,991.0,0.06506894287590283
276,The Basin,4441.0,4542.0,4631.0,4722.0,4846.0,2GMEL,405.0,0.09119567664940328
277,Donvale - Park Orchards,16715.0,16943.0,17208.0,17526.0,17897.0,2GMEL,1182.0,0.07071492671253365
278,Warrandyte - Wonga Park,10613.0,10692.0,10805.0,10961.0,11158.0,2GMEL,545.0,0.05135211533025535
279,Bayswater North,12257.0,12703.0,13181.0,13704.0,14298.0,2GMEL,2041.0,0.16651709227380274
280,Croydon Hills - Warranwood,18752.0,19046.0,19403.0,19842.0,20361.0,2GMEL,1609.0,0.08580418088737202
281,Ringwood,17931.0,20543.0,22765.0,24921.0,27199.0,2GMEL,9268.0,0.5168702247504322
282,Ringwood East,21031.0,22087.0,23128.0,24254.0,25467.0,2GMEL,4436.0,0.21092672721221054
283,Ringwood North,9991.0,10173.0,10411.0,10691.0,11013.0,2GMEL,1022.0,0.10229206285657091
284,Croydon - East,15724.0,17102.0,18397.0,19754.0,21190.0,2GMEL,5466.0,0.3476214703637751
285,Croydon - West,13805.0,14891.0,15982.0,17137.0,18379.0,2GMEL,4574.0,0.33132922854038394
