,Area Name,Total 2016,Total 2021,Total 2026,Total 2031,Total 2036,Total Growth,Total Growth %
229,Roxburgh Park,23041,26033,27356,27926,28527,5486,0.23809730480447897
230,Sandhurst,13664,14253,14651,15024,15395,1731,0.12668325526932084
231,Sandringham,17517,18717,19698,20598,21521,4004,0.22857795284580693
232,Seabrook,5408,5609,5763,5927,6099,691,0.12777366863905326
233,Seaford,17151,17924,18856,20063,21408,4257,0.2482071016267273
234,Seddon,4856,5072,5241,5491,5813,957,0.19707578253706753
235,Kingsville,4856,5072,5241,5491,5813,957,0.19707578253706753
236,Somerville,18878,19793,20719,21626,22616,3738,0.1980082635872444
237,South Melbourne,12492,17820,23032,26661,29929,17437,1.3958533461415306
238,South Morang,25233,26674,29444,32256,34675,9442,0.37419252566084094
239,South Yarra,38409,44311,49813,55635,61090,22681,0.5905126402666042
240,Southbank,20288,31840,41516,44421,47186,26898,1.3258083596214512
241,Springvale,22761,24954,27499,30558,33777,11016,0.48398576512455516
242,Springvale South,13227,13669,14168,14790,15483,2256,0.17056021773644817
243,St Albans,39089,41089,43107,45340,47816,8727,0.2232597405919824
244,St Kilda,28166,31432,33210,34642,36226,8060,0.2861606191862529
245,St Kilda East,17613,18534,18967,19431,19976,2363,0.13416226650769317
246,Strathmore,9968,10498,11058,11634,12253,2285,0.22923354735152487
247,Sunbury,40924,46226,52900,60940,70176,29252,0.7147883882318444
248,Sunshine,10241,11343,13686,16091,18418,8177,0.7984571819158285
249,Sunshine North,12123,13167,14412,15776,17261,5138,0.42382248618328794
250,Sunshine West,19533,20520,21592,22795,24132,4599,0.23544770388573183
251,Surrey Hills,27582,28610,29554,30571,31685,4103,0.14875643535639185
252,Sydenham,12585,12955,13283,13608,14028,1443,0.11466030989272943
253,Tarneit,36404,54969,72885,90142,108005,71601,1.9668443028238656
254,Taylors Hill,20218,21229,21519,21899,22405,2187,0.1081709367889999
255,Taylors Lakes,18455,18401,18413,18532,18729,274,0.014846924952587374
256,Templestowe,17682,17881,18068,18311,18607,925,0.052313086754891984
257,Templestowe Lower,14305,14843,15241,15638,16159,1854,0.12960503320517303
258,The Basin,4441,4542,4631,4722,4846,405,0.09119567664940328
259,Thomastown,21485,21801,22478,23522,24745,3260,0.15173376774493832
260,Thornbury,19578,20764,21885,23038,24176,4598,0.23485544999489222
261,Toorak,14036,14325,14623,14996,15441,1405,0.10009974351667142
262,Truganina,24628,37786,44678,47476,49228,24600,0.9988630826701316
263,Tullamarine,6698,7015,7332,7689,8118,1420,0.212003583159152
264,Upwey,10040,10022,10038,10096,10170,130,0.012948207171314742
265,Vermont,10896,11347,11746,12148,12569,1673,0.15354258443465493
266,Vermont South,12251,12647,13001,13376,13797,1546,0.1261937800995837
267,Viewbank,9509,9519,9536,9619,9755,246,0.025870228204858556
268,Yallambie,9509,9519,9536,9619,9755,246,0.025870228204858556
269,Wallan,16747,22918,33084,47161,64025,47278,2.823072789156267
270,Wandin,7884,8099,8334,8580,8846,962,0.12201927955352612
271,Wantirna,14425,14927,15621,16220,16808,2383,0.16519930675909877
272,Wantirna South,18580,19098,20423,21628,22618,4038,0.21733046286329386
273,Warrandyte,10613,10692,10805,10961,11158,545,0.05135211533025535
274,Watsonia,9542,9725,9916,10172,10469,927,0.0971494445608887
275,Wattle Glen,14351,14788,15283,15803,16372,2021,0.14082642324576686
276,Werribee South,11776,17116,20836,24655,28856,17080,1.450407608695652
277,Werribee,32926,40641,51200,62525,74074,41148,1.2497114742149062
278,West Footscray,6029,6601,7025,7401,7797,1768,0.2932492950738099
279,Tottenham,6029,6601,7025,7401,7797,1768,0.2932492950738099
280,West Melbourne,40181,62833,73594,78632,83245,43064,1.0717503297578457
281,Wheelers Hill,20880,21329,21851,22458,23150,2270,0.10871647509578544
282,Whittlesea,8436,10095,19163,32193,44864,36428,4.318160265528687
283,Williamstown,16389,17614,18513,19323,20139,3750,0.2288120080541827
284,Wollert,9493,21820,36732,51065,63746,54253,5.715053197092595
285,Wyndham Vale,24270,33524,44369,55077,65947,41677,1.7172229089410795
286,Yarra Glen,14106,15091,15634,16213,16814,2708,0.1919750460796824
287,Yarraville,15656,17009,18638,20269,22077,6421,0.41013030148185997
288,Bulla,8562,10953,13557,15732,17564,9002,1.0513898621817332
