,Area Type,Area Name,Total_2016,Total_2036,Population Difference,Population Growth
152,2GMEL,Kew,26504,30964.0,4460.0,16.82764865680652
153,2GMEL,Kew East,6855,7931.0,1076.0,15.696571845368346
154,2GMEL,Surrey Hills (West) - Canterbury,17126,19667.0,2541.0,14.837089804974893
155,2GMEL,Bulleen,11565,14118.0,2553.0,22.075226977950713
156,2GMEL,Doncaster,21885,33158.0,11273.0,51.51016678090016
157,2GMEL,Templestowe,17682,18607.0,925.0,5.231308675489198
158,2GMEL,Templestowe Lower,14305,16159.0,1854.0,12.960503320517303
159,2GMEL,Doncaster East (North),15328,18826.0,3498.0,22.82098121085595
160,2GMEL,Doncaster East (South),14596,18526.0,3930.0,26.9251849821869
161,2GMEL,Blackburn,22291,27533.0,5242.0,23.516217307433493
162,2GMEL,Blackburn South,11229,12351.0,1122.0,9.99198503873898
163,2GMEL,Box Hill,20839,36258.0,15419.0,73.99107442775565
164,2GMEL,Box Hill North,18466,20938.0,2472.0,13.386764865157588
165,2GMEL,Burwood,12900,19035.0,6135.0,47.55813953488372
166,2GMEL,Burwood East,10772,16715.0,5943.0,55.17081321945785
167,2GMEL,Surrey Hills (East) - Mont Albert,10456,12018.0,1562.0,14.938791124713083
168,2GMEL,Beaumaris,14250,16130.0,1880.0,13.192982456140351
169,2GMEL,Brighton (Vic.),24353,27915.0,3562.0,14.626534718515172
170,2GMEL,Brighton East,16718,18749.0,2031.0,12.148582366311759
171,2GMEL,Cheltenham - Highett (West),11463,15968.0,4505.0,39.30035767251156
172,2GMEL,Hampton,18611,22425.0,3814.0,20.49325667615926
173,2GMEL,Sandringham - Black Rock,17517,21521.0,4004.0,22.857795284580693
174,2GMEL,Bentleigh - McKinnon,23586,28525.0,4939.0,20.940388365979818
175,2GMEL,Carnegie,19091,25473.0,6382.0,33.42936462207323
176,2GMEL,Caulfield - North,22288,28751.0,6463.0,28.997666905958365
177,2GMEL,Caulfield - South,18393,21128.0,2735.0,14.869787419126842
178,2GMEL,Elsternwick,12110,15242.0,3132.0,25.862923203963668
179,2GMEL,Hughesdale,8038,10392.0,2354.0,29.28589201293854
180,2GMEL,Murrumbeena,9809,11572.0,1763.0,17.97328983586502
181,2GMEL,Ormond - Glen Huntly,14057,17061.0,3004.0,21.37013587536459
182,2GMEL,Bentleigh East (North),15482,24070.0,8588.0,55.47086939671877
183,2GMEL,Bentleigh East (South),13767,16389.0,2622.0,19.04554369143604
184,2GMEL,Aspendale Gardens - Waterways,9427,9884.0,457.0,4.847777659913016
185,2GMEL,Braeside,60,60.0,0.0,0.0
186,2GMEL,Carrum - Patterson Lakes,12111,15005.0,2894.0,23.89563207001899
187,2GMEL,Chelsea - Bonbeach,14833,18637.0,3804.0,25.64552012404773
188,2GMEL,Chelsea Heights,5538,6155.0,617.0,11.141206211628747
189,2GMEL,Cheltenham - Highett (East),23449,34133.0,10684.0,45.56271056335025
190,2GMEL,Edithvale - Aspendale,13376,15629.0,2253.0,16.8436004784689
191,2GMEL,Mentone,13695,17822.0,4127.0,30.135085797736398
192,2GMEL,Moorabbin - Heatherton,9253,13019.0,3766.0,40.700313411866425
193,2GMEL,Moorabbin Airport,0,0.0,0.0,
194,2GMEL,Mordialloc - Parkdale,20969,25335.0,4366.0,20.821212265725595
195,2GMEL,Malvern - Glen Iris,21148,25858.0,4710.0,22.271609608473614
196,2GMEL,Malvern East,22575,29275.0,6700.0,29.67884828349945
197,2GMEL,Bundoora - East,10292,11524.0,1232.0,11.970462495141858
198,2GMEL,Greensborough,21348,24122.0,2774.0,12.994191493348323
199,2GMEL,Heidelberg - Rosanna,15532,22283.0,6751.0,43.46510430079835
200,2GMEL,Heidelberg West,14806,19325.0,4519.0,30.521410239092262
201,2GMEL,Ivanhoe,11998,16394.0,4396.0,36.63943990665111
202,2GMEL,Ivanhoe East - Eaglemont,8119,8910.0,791.0,9.742579135361499
203,2GMEL,Montmorency - Briar Hill,16792,18224.0,1432.0,8.527870414483086
204,2GMEL,Viewbank - Yallambie,19018,19510.0,492.0,2.5870228204858554
205,2GMEL,Watsonia,9542,10469.0,927.0,9.714944456088869
206,2GMEL,Kingsbury,11965,15678.0,3713.0,31.032177183451736
207,2GMEL,Reservoir - East,28420,38924.0,10504.0,36.959887403237154
208,2GMEL,Reservoir - West,25246,30397.0,5151.0,20.403232195199237
209,2GMEL,Preston - East,21192,33738.0,12546.0,59.20158550396376
210,2GMEL,Preston - West,12867,21363.0,8496.0,66.02937747726743
211,2GMEL,Eltham,24008,25717.0,1709.0,7.11846051316228
212,2GMEL,Hurstbridge,3605,3869.0,264.0,7.323162274618586
213,2GMEL,Kinglake,3984,5062.0,1078.0,27.058232931726906
214,2GMEL,Panton Hill - St Andrews,5409,6077.0,668.0,12.34978739138473
215,2GMEL,Plenty - Yarrambat,9794,11016.0,1222.0,12.477026751072085
216,2GMEL,Research - North Warrandyte,7007,7264.0,257.0,3.6677608106179536
217,2GMEL,Wattle Glen - Diamond Creek,14351,16372.0,2021.0,14.082642324576685
218,2GMEL,Bundoora - North,7959,12372.0,4413.0,55.44666415378816
219,2GMEL,Bundoora - West,6456,8356.0,1900.0,29.429987608426273
220,2GMEL,Lalor,23874,34964.0,11090.0,46.45220742230041
221,2GMEL,Mill Park - North,18712,19352.0,640.0,3.4202650705429676
222,2GMEL,Mill Park - South,12526,13059.0,533.0,4.2551492894778855
223,2GMEL,Thomastown,21485,24745.0,3260.0,15.173376774493832
224,2GMEL,Wallan,16747,64025.0,47278.0,282.3072789156267
225,2GMEL,Whittlesea,8436,44864.0,36428.0,431.81602655286866
226,2GMEL,Doreen,21801,32974.0,11173.0,51.24994266318059
227,2GMEL,Epping - East,13738,18068.0,4330.0,31.51841607220847
228,2GMEL,Epping - South,8690,9558.0,868.0,9.98849252013809
229,2GMEL,Epping - West,11484,16410.0,4926.0,42.8944618599791
230,2GMEL,Mernda,17171,31310.0,14139.0,82.34232135577427
231,2GMEL,South Morang (North),12675,19911.0,7236.0,57.08875739644971
232,2GMEL,South Morang (South),12558,14764.0,2206.0,17.566491479534957
233,2GMEL,Wollert,9493,63746.0,54253.0,571.5053197092595
234,2GMEL,Airport West,7903,11000.0,3097.0,39.18765025939517
235,2GMEL,Essendon Airport,0,0.0,0.0,
236,2GMEL,Keilor,8993,10321.0,1328.0,14.767041031913712
237,2GMEL,Keilor East,27399,34525.0,7126.0,26.008248476221763
238,2GMEL,Niddrie - Essendon West,7250,10006.0,2756.0,38.01379310344827
239,2GMEL,Strathmore,9968,12253.0,2285.0,22.923354735152486
240,2GMEL,Gisborne,13312,20272.0,6960.0,52.28365384615385
241,2GMEL,Macedon,3525,3963.0,438.0,12.425531914893618
242,2GMEL,Riddells Creek,4174,5819.0,1645.0,39.410637278390034
243,2GMEL,Romsey,9663,13065.0,3402.0,35.20645762185657
244,2GMEL,Coburg North,8112,13337.0,5225.0,64.41074950690336
245,2GMEL,Fawkner,14460,18685.0,4225.0,29.218533886583682
246,2GMEL,Pascoe Vale,24829,34604.0,9775.0,39.36928591566314
247,2GMEL,Glenroy,23153,32250.0,9097.0,39.290804647345915
248,2GMEL,Gowanbrae,3042,4153.0,1111.0,36.52202498356345
249,2GMEL,Hadfield,5911,8407.0,2496.0,42.22635763830147
250,2GMEL,Sunbury,13238,22305.0,9067.0,68.49221936848467
251,2GMEL,Sunbury - South,27686,47871.0,20185.0,72.90688434587878
252,2GMEL,Broadmeadows,13916,21013.0,7097.0,50.99885024432308
253,2GMEL,Campbellfield - Coolaroo,17122,19138.0,2016.0,11.774325429272281
254,2GMEL,Gladstone Park - Westmeadows,18353,20916.0,2563.0,13.965019342886723
255,2GMEL,Greenvale - Bulla,17123,35127.0,18004.0,105.14512643812417
256,2GMEL,Meadow Heights,15779,16660.0,881.0,5.583370302300526
257,2GMEL,Melbourne Airport,194,194.0,0.0,0.0
258,2GMEL,Roxburgh Park - Somerton,23041,28527.0,5486.0,23.809730480447897
