,suburb,number of trips,number of stops,trips per stop,Actual Postcode,Adjusted Postcode
355,St Kilda East,3017,43,70.16279069767442,3183,3183
356,St Kilda West,658,10,65.8,3182,3182
357,Strathmore,2014,46,43.78260869565217,3041,3041
358,Strathmore Heights,272,8,34.0,3041,3041
359,Strathtulloh,24,1,24.0,3338,3338
360,Sunbury,6465,225,28.733333333333334,3429,3429
361,Sunshine,8091,94,86.07446808510639,3020,3020
362,Sunshine North,2577,42,61.357142857142854,3020,3020
363,Sunshine West,3175,78,40.705128205128204,3020,3020
364,Surrey Hills,5398,66,81.78787878787878,3127,3127
365,Sydenham,1646,31,53.096774193548384,3037,3037
366,Tarneit,6177,150,41.18,3029,3029
367,Taylors Hill,1014,31,32.70967741935484,3037,3037
368,Taylors Lakes,3136,65,48.246153846153845,3038,3038
369,Tecoma,640,17,37.64705882352941,3160,"3160, 3159"
370,Templestowe,7613,103,73.9126213592233,3106,3106
371,Templestowe Lower,4050,61,66.39344262295081,3107,3107
372,The Basin,810,15,54.0,3154,3154
373,The Patch,448,9,49.77777777777778,3792,3792
374,Thomastown,10295,115,89.52173913043478,3074,3074
375,Thornbury,7812,81,96.44444444444444,3071,3071
376,Tooradin,48,6,8.0,3980,"3912, 3980"
377,Toorak,5318,57,93.29824561403508,3142,3142
378,Tootgarook,595,28,21.25,3941,3941
379,Tottenham,342,5,68.4,3012,3012
380,Travancore,131,2,65.5,3032,3032
381,Tremont,176,3,58.666666666666664,3785,3785
382,Truganina,2236,72,31.055555555555557,3029,3029
383,Tullamarine,2546,61,41.73770491803279,3043,3043
384,Tyabb,250,14,17.857142857142858,3913,3913
385,Upper Ferntree Gully,1526,15,101.73333333333333,3156,3156
386,Upwey,948,36,26.333333333333332,3158,"3158, 3160"
387,Vermont,3548,52,68.23076923076923,3133,3133
388,Vermont South,6078,50,121.56,3133,3133
389,Viewbank,1714,22,77.9090909090909,3084,3084
390,Wandin North,329,14,23.5,3139,3139
391,Wantirna,4658,46,101.26086956521739,3152,3152
392,Wantirna South,10700,128,83.59375,3152,3152
393,Warburton,267,13,20.53846153846154,3799,3799
394,Warneet,64,7,9.142857142857142,3980,"3912, 3980"
395,Warrandyte,3803,46,82.67391304347827,3113,"3113, 3115"
396,Warrandyte South,133,3,44.333333333333336,3134,3134
397,Warranwood,848,20,42.4,3134,3134
398,Waterways,225,5,45.0,3195,3195
399,Watsonia,2420,28,86.42857142857143,3087,3087
400,Watsonia North,1830,22,83.18181818181819,3087,3087
401,Wattle Glen,236,4,59.0,3096,"3096, 3089"
402,Werribee,7845,213,36.83098591549296,3030,3030
403,Werribee South,223,14,15.928571428571429,3030,3030
404,Wesburn,215,10,21.5,3799,3799
405,West Footscray,4104,58,70.75862068965517,3012,3012
406,West Melbourne,4985,42,118.69047619047619,3003,3003
407,Westmeadows,2028,36,56.333333333333336,3049,"3043, 3049"
408,Wheelers Hill,6308,106,59.509433962264154,3150,3150
409,Whittlesea,1464,23,63.65217391304348,3757,3757
410,Williams Landing,1893,24,78.875,3027,3027
411,Williamstown,3607,60,60.11666666666667,3016,3016
412,Williamstown North,260,13,20.0,3016,3016
413,Windsor,2407,20,120.35,3181,3181
414,Wollert,2808,37,75.89189189189189,3750,3750
415,Wonga Park,1188,28,42.42857142857143,3115,"3113, 3115"
416,Woori Yallock,304,13,23.384615384615383,3139,3139
417,Wyndham Vale,1801,61,29.524590163934427,3024,3024
418,Yallambie,1466,18,81.44444444444444,3085,"3084, 3085"
419,Yan Yean,880,10,88.0,3755,3755
420,Yarra Glen,54,4,13.5,3775,"3777, 3775"
421,Yarra Junction,322,16,20.125,3797,3797
422,Yarrambat,1418,18,78.77777777777777,3091,"3090, 3091"
423,Yarraville,3612,83,43.51807228915663,3013,3013
